StudyNum	taskNum	taskNumUni	condNum	condNumUni	condNames	overlap taskNames		
1	1	1	1	1	NoGo	0					 GoNoGo			
1	1	1	2	2	Go	0					 GoNoGo
1	2	2	3	3	ToM	1					 ToM
1	3	3	4	4	VideoActions	1 				 actionObservation
1	3	3	5	5	VideoKnots	1				 actionObservation
1	4	4	6	6	UnpleasantScenes	0			 affective
1	4	4	7	7	PleasantScenes	0				 affective
1	5	5	8	8	Math	0					 arithmetic
1	5	5	9	9	DigitJudgement	0				 arithmetic
1	6	6	10	10	CheckerBoard	0			        checkerBoard
1	7	7	11	11	SadFaces	0				emotional
1	7	7	12	12	HappyFaces	0			        emotional
1	8	8	13	13	IntervalTiming	0  				intervalTiming
1	9	9	14	14	MotorImagery	0				motorImagery
1	10	10	15	15	FingerSimple	1				motorSequence
1	10	10	16	16	FingerSeq	1				motorSequence
1	11	11	17	17	Verbal0Back	0				nBack
1	11	11	18	18	Verbal2Back	0				nBack
1	12	12	19	19	Object0Back	1				nBackPic
1	12	12	20	20	Object2Back	1				nBackPic
1	13	13	21	21	SpatialNavigation	1			spatialNavigation
1	14	14	22	22	StroopIncon	0				stroop
1	14	14	23	23	StroopCon	0				stroop
1	15	15	24	24	VerbGen	1					verbGeneration
1	15	15	25	25	WordRead	1				verbGeneration
1	16	16	26	26	VisualSearchSmall	1			visualSearch
1	16	16	27	27	VisualSearchMed	 1				visualSearch
1	16	16	28	28	VisualSearchLarge	1			visualSearch
1	17	17	29	29	Rest	1					rest
2	1	18	1	30	CPRO	0					CPRO
2	2	19	2	31	Prediction	0				prediction
2	2	19	3	32	PredictViol	0				prediction
2	2	19	4	33	PredictScram	0				prediction
2	3	15	5	24	VerbGen	1					verbGeneration2
2	3	15	6	25	WordRead	1				verbGeneration2
2	4	13	7	21	SpatialNavigation	1	  		spatialNavigation2
2	5	20	8	34	SpatialMapEasy	0				spatialMap
2	5	20	9	35	SpatialMapMed	0				spatialMap
2	5	20	10	36	SpatialMedDiff	0				spatialMap
2	6	21	11	37	NatureMovie	0				natureMovie
2	7	22	12	38	RomanceMovie	0				romanceMovie
2	8	23	13	39	LandscapeMovie	0				landscapeMovie
2	9	10	14	15	FingerSimple	1				motorSequence2
2	9	10	15	16	FingerSeq	1				motorSequence2
2	10	24	16	40	MentalRotEasy	0				mentalRotation
2	10	24	17	41	MentalRotMed	0				mentalRotation
2	10	24	18	42	MentalRotDiff	0				mentalRotation
2	11	12	19	19	Object0Back	1				nBackPic2
2	11	12	20	20	Object2Back	1				nBackPic2
2	12	25	21	43	BodyMotionIntact	0			emotionProcess
2	12	25	22	44	BodyMotionScram	0				emotionProcess
2	13	26	23	45	RespAltEasy	0				respAlt
2	13	26	24	46	RespAltMed	0				respAlt
2	13	26	25	47	RespAltDiff	0				respAlt
2	14	16	26	26	VisualSearchSmall	1			visualSearch2
2	14	16	27	27	VisualSearchMed	1				visualSearch2
2	14	16	28	28	VisualSearchLarge	1			visualSearch2
2	15	2	29	3	ToM	1					ToM2
2	16	3	30	4	VideoAct	1				actionObservation2
2	16	3	31	5	VideoKnots	1				actionObservation2
2	17	17	32	29	Rest	1					rest2
